title,url,origin
想開咖啡廳，不是只要沖咖啡而已！專家曝8大開店地雷，經營美店絕對比你想的還要累-風傳媒,https://www.storm.mg/lifestyle/3689600?page=1,https://www.storm.mg
指揮中心公佈配戴口罩放寬規定，爬山、海邊活動可不用戴口罩 | T客邦,https://www.techbang.com/posts/90420-the-command-center-announced-that-the-wearing-of-masks-to,https://www.techbang.com
中國東北限電限到只有 2G 訊號，紅綠燈罷工、行動支付不能用連買飯都困難 | T客邦,https://www.techbang.com/posts/90380-there-are-only-2g-signals-left-in-northeast-china-and-only,https://www.techbang.com
NETSCOUT威脅情報報告：DDoS攻擊達540萬次較去年同期增11% | T客邦,https://www.techbang.com/posts/90274-netscout-publishes-threat-intelligence-report,https://www.techbang.com
休旅車華麗變身「音樂戰車」，紐約街頭「惡名昭彰」的多明尼加汽車音響文化 - The News Lens 關鍵評論網,https://www.thenewslens.com/article/157149,https://www.thenewslens.com
如何在手機上壓縮影片檔案？ | T客邦,https://www.techbang.com/posts/89021-how-do-i-compress-movie-files-on-my-phone,https://www.techbang.com
相關道路車輛系統網路安全的最新 ISO 21434 - Soft & Share 線上課程資訊分享,https://softnshare.com/road-vehicles-cybersecurity-iso-21434/,https://softnshare.com
【中信兄弟象 vs 味全龍】中華職棒直播、10/3 免費直播線上看、兄弟象Twitch直播-2021 - 蘋果仁 - 果仁 iPhone/iOS/好物推薦科技媒體,https://applealmond.com/posts/116480,https://applealmond.com
【味全龍 vs 中信兄弟象】中華職棒直播 LINE Today 線上看、10/3 CPBL下半季線上轉播-2021 - 蘋果仁 - 果仁 iPhone/iOS/好物推薦科技媒體,https://applealmond.com/posts/116477,https://applealmond.com
【富邦悍將 vs 統一獅】中華職棒直播、LINE Today Live 直播線上看、10/3 CPBL下半季線上轉播-202 - 蘋果仁 - 果仁 iPhone/iOS/好物推薦科技媒體,https://applealmond.com/posts/116489,https://applealmond.com
Apple Watch Series 7 據傳最快下週可預訂，10 月中旬出貨 - 蘋果仁 - 果仁 iPhone/iOS/好物推薦科技媒體,https://applealmond.com/posts/116510,https://applealmond.com
pycaret：一個開源、少量程式碼(low-code)的 Python 機器學習庫 - Soft & Share 線上課程資訊分享,https://softnshare.com/pycaret-low-code/,https://softnshare.com
[免費教學影片]- 使用 PyCaret 在 12 行程式碼中建立一個機器學習分類模型 - Soft & Share 線上課程資訊分享,https://softnshare.com/pycaret/,https://softnshare.com
特斯拉 2021 第二季安全報告：自動輔助駕駛更穩定，事故更少 - 蘋果仁 - 果仁 iPhone/iOS/好物推薦科技媒體,https://applealmond.com/posts/116577,https://applealmond.com
"火幣正式公告中國「12月清退行程表」 : 月中終止入金、幣幣交易，10/31禁人民幣 | 動區動趨-最具影響力的區塊鏈媒體 (比特幣, 加密貨幣)",https://www.blocktempo.com/huobi-global-annouce-how-to-quit-existing-of-mainland-china-users/,https://www.blocktempo.com
"Cardano 資方砸 1 億美元發展「DeFi、NFT生態系」；將與英國 DJ 界傳奇合作 | 動區動趨-最具影響力的區塊鏈媒體 (比特幣, 加密貨幣)",https://www.blocktempo.com/emurgo-launches-new-100-million-cardano-ecosystem-investment-vehicle/,https://www.blocktempo.com
"eNaira｜「奈及利亞央行數位貨幣」遭告侵犯商標，法院批准上路：對全國經濟有益 | 動區動趨-最具影響力的區塊鏈媒體 (比特幣, 加密貨幣)",https://www.blocktempo.com/nigeria-court-amid-ongoing-litigation-enaira-receives-go-ahead/,https://www.blocktempo.com
SUMo 5.14.1.508 免安裝中文版 - 軟體更新檢查工具        -         阿榮福利味 - 免費軟體下載,https://www.azofreeware.com/2021/10/sumo.html,https://www.azofreeware.com
"科普｜跨鏈橋：「多鏈時代」的重要參與者，與不同跨鏈橋的權衡 | 動區動趨-最具影響力的區塊鏈媒體 (比特幣, 加密貨幣)",https://www.blocktempo.com/cross-chain-bridge-important-participant-in-the-multi-chain-l2-era/,https://www.blocktempo.com
"史上首次！灰度以太坊信託 9月日交易量超越比特幣；Grayscale基金將納 SOL UNI | 動區動趨-最具影響力的區塊鏈媒體 (比特幣, 加密貨幣)",https://www.blocktempo.com/grayscale-adds-solana-and-uniswap-to-gdlc-while-top-crypto-investment-product-isnt-the-bitcoin-trust/,https://www.blocktempo.com
iOS 15 的 Safari 瀏覽器隱藏應用小技巧教學 - 電腦王阿達,https://www.kocpc.com.tw/archives/404325,https://www.kocpc.com.tw
